place_id,place_name,place_description,category,city,price,rating,description_location,place_img,gallery_photo_img1,gallery_photo_img2,gallery_photo_img3,place_map,combination
11,Curug Luhur Waterfall,"Sekitaran Bandung banyak sekali curug dari yang kekinian, terlupakan, kurang terdengar sampai baru dengar. Salah satunya adalah curug Luhur Cibodas di daerah Maribaya Lembang di sekitar area ini ada 3 curug, penduduk lokal menyebutnya curug Cibodas pernah disebut juga curug Keraton .. tapi sekarang lebih dikenal curug Luhur, selain yang ini ada juga curug Lalay yang tidak terlalu tinggi dan satu lagi curug yang paling tinggi diarea sini yaitu curug Luhur .. posisinya lebih kedalam lagi sekitar 3 km dari pos masuk, masih jarang orang yang kesana",Cagar Alam,Bandung,45.0,4.2,"5PW6+3VR, Jl. Barukisu Kp. Gandok, Suntenjaya, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391",https://i.ibb.co/7dHsPtDJ/Curug-Luhur-Waterfall-place-img.jpg,https://i.ibb.co/jNC9hmj/Curug-Luhur-Waterfall-gallery-photo-img1.jpg,https://i.ibb.co/Q7LHR4jQ/Curug-Luhur-Waterfall-gallery-photo-img2.jpg,https://i.ibb.co/20Qvjd7s/Curug-Luhur-Waterfall-gallery-photo-img3.jpg,https://www.google.com/maps/search/Curug+Luhur+Waterfall,sekitaran bandung sekali curug kekinian terlupakan kurang terdengar baru dengar salah satunya curug luhur cibodas daerah maribaya lembang sekitar area 3 curug penduduk lokal menyebutnya curug cibodas pernah disebut curug keraton sekarang dikenal curug luhur selain curug lalay tidak terlalu tinggi satu lagi curug paling tinggi diarea sini curug luhur posisinya kedalam lagi sekitar 3 km pos masuk jarang orang kesana cagar alam bandung
12,Curug Malela,"Curug Malela adalah air terjun yang terletak di Kabupaten Bogor, Jawa Barat, Indonesia. Air terjun ini menawarkan pemandangan yang memukau dengan air yang jatuh dari ketinggian dan ditambah dengan latar belakang hutan yang hijau. Suasana sejuk dan alami membuat Curug Malela menjadi tempat yang cocok untuk bersantai dan menikmati keindahan alam. Pengunjung dapat berjalan menyusuri aliran sungai menuju air terjun dan merasakan keindahan alam yang menyejukkan.",Cagar Alam,Bandung,6.0,4.5,"Sindangjaya, Kec. Gununghalu, Kabupaten Bandung Barat, Jawa Barat",https://i.ibb.co/4Z8sLt0G/Curug-Malela-place-img.jpg,https://i.ibb.co/9kJkrcXX/Curug-Malela-gallery-photo-img1.jpg,https://i.ibb.co/MxLMdrLy/Curug-Malela-gallery-photo-img2.jpg,https://i.ibb.co/1YJHKwKy/Curug-Malela-gallery-photo-img3.jpg,https://www.google.com/maps/search/Curug+Malela,curug malela air terjun terletak kabupaten bogor jawa barat indonesia air terjun menawarkan pemandangan memukau air jatuh ketinggian ditambah latar belakang hutan hijau suasana sejuk alami membuat curug malela menjadi tempat cocok bersantai menikmati keindahan alam pengunjung berjalan menyusuri aliran sungai menuju air terjun merasakan keindahan alam menyejukkan cagar alam bandung
13,Curug Tilu Leuwi Opat,"Curug Tilu Leuwi Opat adalah air terjun yang terletak di Kabupaten Bandung, Jawa Barat, Indonesia. Air terjun ini menawarkan keindahan alam yang spektakuler dengan tiga tingkatan air terjun yang mengalir mempesona. Pengunjung dapat menikmati pemandangan yang menakjubkan, suara gemuruh air terjun, dan segarnya air yang jatuh. Curug Tilu Leuwi Opat juga dikelilingi oleh hutan hijau yang memperkaya pengalaman alam. Tempat ini merupakan pilihan yang ideal bagi wisatawan yang ingin menikmati keindahan alam dan suasana yang tenang.",Cagar Alam,Bandung,10.0,4.4,"6H5J+MRR, Ciwangun Indah Cp, Cihanjuang Rahayu, Parongpong, West Bandung Regency, West Java 40559",https://i.ibb.co/YFN5vG7t/Curug-Tilu-Leuwi-Opat-place-img.jpg,https://i.ibb.co/C5K4V6PN/Curug-Tilu-Leuwi-Opat-gallery-photo-img1.jpg,https://i.ibb.co/SXHLpVB5/Curug-Tilu-Leuwi-Opat-gallery-photo-img2.jpg,,https://www.google.com/maps/search/Curug+Tilu+Leuwi+Opat,curug tilu leuwi opat air terjun terletak kabupaten bandung jawa barat indonesia air terjun menawarkan keindahan alam spektakuler tiga tingkatan air terjun mengalir mempesona pengunjung menikmati pemandangan menakjubkan suara gemuruh air terjun segarnya air jatuh curug tilu leuwi opat dikelilingi hutan hijau memperkaya pengalaman alam tempat merupakan pilihan ideal bagi wisatawan ingin menikmati keindahan alam suasana tenang cagar alam bandung
14,Desa Wisata Kampung Cai Ranca Upas,"Desa ini menawarkan suasana pedesaan yang alami dan keindahan alam yang memukau, dengan pemandangan sawah, perkebunan teh, dan udara segar yang menyejukkan.","Cagar Alam,Desa Wisata",Bandung,10.0,4.7,"Desa Alam Endah, Kecamatan Ranca Upas, Bandung, Jawa Barat",https://i.ibb.co/PvGJBJQ3/Desa-Wisata-Kampung-Cai-Ranca-Upas-place-img.png,https://i.ibb.co/mC6Wt56z/Desa-Wisata-Kampung-Cai-Ranca-Upas-gallery-photo-i.jpg,https://i.ibb.co/ShNF2mG/Desa-Wisata-Kampung-Cai-Ranca-Upas-gallery-photo-i.jpg,https://i.ibb.co/tMTzw7C5/Desa-Wisata-Kampung-Cai-Ranca-Upas-gallery-photo-i.jpg,https://www.google.com/maps/search/Desa+Wisata+Kampung+Cai+Ranca+Upas,desa menawarkan suasana pedesaan alami keindahan alam memukau pemandangan sawah perkebunan teh udara segar menyejukkan cagar alam desa wisata bandung
15,Dusun Bambu,"Dusun Bambu adalah destinasi wisata keluarga yang terletak di Lembang, Bandung, Indonesia. Tempat ini menawarkan pengalaman yang unik dengan suasana pedesaan, pemandangan pegunungan, dan area hijau yang luas. Pengunjung dapat menikmati berbagai aktivitas seperti naik perahu, berkemah, berkeliling taman bunga, dan menikmati kuliner tradisional. Dusun Bambu juga memiliki area bermain anak, taman bermain air, dan penginapan yang nyaman. Tempat ini cocok untuk rekreasi keluarga dan bersantai sambil menikmati keindahan alam.",Taman Hiburan,Bandung,20.0,4.5,"Jl. Kolonel Masturi No.KM. 11, Kertawangi, Kec. Cisarua, Kabupaten Bandung Barat, Jawa Barat 40551",https://i.ibb.co/C5s3PGwR/Dusun-Bambu-place-img.jpg,https://i.ibb.co/XfN1rcz6/Dusun-Bambu-gallery-photo-img1.jpg,https://i.ibb.co/vv6T23Wc/Dusun-Bambu-gallery-photo-img2.jpg,,https://www.google.com/maps/search/Dusun+Bambu,dusun bambu destinasi wisata keluarga terletak lembang bandung indonesia tempat menawarkan pengalaman unik suasana pedesaan pemandangan pegunungan area hijau luas pengunjung menikmati berbagai aktivitas seperti naik perahu berkemah berkeliling taman bunga menikmati kuliner tradisional dusun bambu memiliki area bermain anak taman bermain air penginapan nyaman tempat cocok rekreasi keluarga bersantai sambil menikmati keindahan alam taman hiburan bandung
16,Gua Pawon,"Gua Pawon adalah sebuah gua alami dan situs purbakala yang terletak di Desa Gunung Masigit, Kecamatan Cipatat, Padalarang, Kabupaten Bandung Barat, atau sekitar 25 km arah barat Kota Bandung. Merupakan sebuah tempat yang penting bagi orang Sunda karena di sanalah tempat berkumpulnya sesepuh Sunda yang sekarang menduduki bagian barat pulau Jawa. Di sana pernah ditemukan kerangka manusia purba yang konon adalah nenek moyang orang Sunda (masih diteliti di balai Arkeolog Bandung).","Budaya,Cagar Alam",Bandung,10.0,4.5,"Kp. Cibukur, Gunungmasigit, Kec. Cipatat, Kabupaten Bandung Barat, Jawa Barat 40554",https://i.ibb.co/kVSLkYHX/Gua-Pawon-place-img.jpg,https://i.ibb.co/Z1M19BtR/Gua-Pawon-gallery-photo-img1.jpg,https://i.ibb.co/4nqRTRPx/Gua-Pawon-gallery-photo-img2.jpg,https://i.ibb.co/tP236NFn/Gua-Pawon-gallery-photo-img3.jpg,https://www.google.com/maps/search/Gua+Pawon,gua pawon gua alami situs purbakala terletak desa gunung masigit kecamatan cipatat padalarang kabupaten bandung barat sekitar 25 km arah barat kota bandung merupakan tempat penting bagi orang sunda sanalah tempat berkumpulnya sesepuh sunda sekarang menduduki bagian barat pulau jawa sana pernah ditemukan kerangka manusia purba konon nenek moyang orang sunda diteliti balai arkeolog bandung budaya cagar alam bandung
17,Gunung Lalakon,"Gunung Lalakon adalah gunung yang terletak di Kabupaten Garut, Jawa Barat, Indonesia. Gunung ini memiliki pemandangan alam yang memukau dengan hutan yang hijau dan udara yang segar. Pendakian ke puncak Gunung Lalakon menawarkan pengalaman petualangan yang menantang dengan jalur yang menanjak. Dari puncaknya, pengunjung dapat menikmati panorama yang memukau termasuk lembah dan gunung-gunung di sekitarnya. Gunung Lalakon cocok untuk para pendaki yang ingin mengeksplorasi keindahan alam dan menikmati kegiatan outdoor.","Cagar Alam,Taman Nasional",Bandung,0.0,4.8,"Situwangi, Cihampelas, West Bandung Regency, West Java",https://i.ibb.co/fztPx3n0/Gunung-Lalakon-place-img.jpg,https://i.ibb.co/XxQVBwVD/Gunung-Lalakon-gallery-photo-img1.jpg,https://i.ibb.co/d44xJCdG/Gunung-Lalakon-gallery-photo-img2.jpg,https://i.ibb.co/ccs5sxmX/Gunung-Lalakon-gallery-photo-img3.jpg,https://www.google.com/maps/search/Gunung+Lalakon,gunung lalakon gunung terletak kabupaten garut jawa barat indonesia gunung memiliki pemandangan alam memukau hutan hijau udara segar pendakian puncak gunung lalakon menawarkan pengalaman petualangan menantang jalur menanjak puncaknya pengunjung menikmati panorama memukau termasuk lembah gunung gunung sekitarnya gunung lalakon cocok pendaki ingin mengeksplorasi keindahan alam menikmati kegiatan outdoor cagar alam taman nasional bandung
18,Gunung Manglayang,"Gunung Manglayang adalah gunung yang terletak di Kabupaten Bandung, Jawa Barat, Indonesia. Dengan ketinggian sekitar 1.806 meter, gunung ini menawarkan pendakian menantang dan pemandangan alam yang memukau. Di Gunung Manglayang, pengunjung dapat menikmati keindahan hutan, air terjun, dan pemandangan Kota Bandung. Gunung Manglayang juga menjadi habitat bagi berbagai flora dan fauna yang melimpah, menjadikannya tempat yang ideal untuk kegiatan pendakian dan petualangan alam.","Cagar Alam,Taman Nasional",Bandung,8.0,4.5,"Di antara Kota Bandung dan Kabupaten Sumedang, Jawa Barat, Indonesia.",https://i.ibb.co/jZgTCBhN/Gunung-Manglayang-place-img.jpg,https://i.ibb.co/FkK9L688/Gunung-Manglayang-gallery-photo-img1.jpg,https://i.ibb.co/Q3kRC06N/Gunung-Manglayang-gallery-photo-img2.jpg,,https://www.google.com/maps/search/Gunung+Manglayang,gunung manglayang gunung terletak kabupaten bandung jawa barat indonesia ketinggian sekitar 1 806 meter gunung menawarkan pendakian menantang pemandangan alam memukau gunung manglayang pengunjung menikmati keindahan hutan air terjun pemandangan kota bandung gunung manglayang menjadi habitat bagi berbagai flora fauna melimpah menjadikannya tempat ideal kegiatan pendakian petualangan alam cagar alam taman nasional bandung
19,Happyfarm Ciwidey,"Objek wisata alam dan edukasi tengah banyak menjamur akhir-akhir ini. Selain De Ranch dan Farmhouse Lembang, ada juga Happy Farm Ciwidey di Bandung. Objek wisata ini masih terbilang baru, karena baru bulan Juni 2019 ini berdiri. Konsepnya hampir sama, wisata alam dan peternakan dengan unsur edukasi. Sangat cocok menjadi tujuan wisata keluarga, terutama untuk anak-anak. Dan semakin seru karena bermain di area outdoor dengan udara sejuk.",Cagar Alam,Bandung,15.0,4.3,"Cikembang, Panundaan, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973",https://i.ibb.co/FkQNtTRX/Happyfarm-Ciwidey-place-img.jpg,https://i.ibb.co/DP9SrwQK/Happyfarm-Ciwidey-gallery-photo-img1.jpg,https://i.ibb.co/xK06Lf1v/Happyfarm-Ciwidey-gallery-photo-img2.jpg,https://i.ibb.co/mC4qBYMV/Happyfarm-Ciwidey-gallery-photo-img3.jpg,https://www.google.com/maps/search/Happyfarm+Ciwidey,objek wisata alam edukasi tengah menjamur akhir akhir selain de ranch farmhouse lembang happy farm ciwidey bandung objek wisata terbilang baru baru bulan juni 2019 berdiri konsepnya hampir sama wisata alam peternakan unsur edukasi cocok menjadi tujuan wisata keluarga terutama anak anak semakin seru bermain area outdoor udara sejuk cagar alam bandung
20,Jendela Alam ,"Tidak hanya menikmati alam sekitar yang masih sejuk dan hijau, anak anda juga bisa mengikuti berbagai kegiatan edukasi yang bermanfaat. Berbagai kegiatan edukasi disediakan dan dirancang sedemikian rupa sehingga menarik buat keluarga. Kegiatan edukasi yang tersedia cocok untuk anak mulai dari usia TK sampai dengan SMA.",Taman Hiburan,Bandung,20.0,4.4,"Komplek Graha Puspa, Jl. Sersan Bajuri No.KM, RW.5, Cihideung, Kec. Parongpong, Kabupaten Bandung Barat, Jawa Barat 40559",https://i.ibb.co/7JfjXDNT/Jendela-Alam-place-img.jpg,https://i.ibb.co/9HKnbRJz/Jendela-Alam-gallery-photo-img1.jpg,https://i.ibb.co/FkHt8R5M/Jendela-Alam-gallery-photo-img2.jpg,,https://www.google.com/maps/search/Jendela+Alam+,tidak menikmati alam sekitar sejuk hijau anak anda mengikuti berbagai kegiatan edukasi bermanfaat berbagai kegiatan edukasi disediakan dirancang sedemikian rupa sehingga menarik buat keluarga kegiatan edukasi tersedia cocok anak mulai usia tk sma taman hiburan bandung
